nomvar,description_fr,description_en,unit
GV,Tendance selon VV de la résistance due à l''onde de gravité,Gravity wave drag tendency of VV,meter_per_second_per_day
GZ,Hauteur géopotentielle,Geopotential height,decameter
H,Hauteur de la couche limite,Height of boundary layer,meter
H2,Variance de la hauteur du terrain,Terrain height variance,meter
H2S,Sulfure d''hydrogene gazeux,Hydrogen sulfide gas,parts_per_billion
HA,Grêle (QPF),Hail (QPF),scalar
HB,Profondeur d''eau  ,Water Depth,meter
HC,Capacité thermique du sol,Thermal capacity of ground,joule_per_cubicMeter_per_kelvin
HD,Matrice numérique de précipitation horaire radar,Radar Hourly Digital Precipitation Array,meter
HE,Humidité du sol (ECMWF),Soil moisture (ECMWF),scalar
HF,Flux de vapeur a la surface (t-dt),Surface Vapour Flux (t-dt),kilogram_per_squareMeter_per_second
HG,Niveau de surface,Water level,meter
HH,Heure(série temporelle. axe du temps),Hour (time series. time axis),hour
HI,Ion hydrogène en solution (H+),Hydrogen ion in solution (H+),parts_per_billion
HL,Hélicité relative,Relative helicity,squareMeter_per_secondSquared
HMX,Facteur humidex,Humidex,scalar
HMXX,facteur humidex maximal sur une periode,Maximum humidex over a period,scalar
HO,Radical hydroxyle libre(HO),Hydroxyl free radical (HO),parts_per_billion
HP,Peroxide d''hydrogène gazeux (H2O2),Hydrogen peroxide gas (H2O2),parts_per_billion
HR,Humidité relative,Relative humidity,scalar
HS,Humidité du sol,Soil moisture,scalar
HT,Pression au sommet du nuage,Pressure at top of cloud,kilopascal
HU,Humidite spécifique,Specific humidity,kilogram_per_kilogram
HV,Flux d''ondes courtes vers le haut,Upward short-wave flux,watt_per_squareMeter
HX,Radical peroxyle libre (HYDRO),Peroxyl free radical (HYDRO),parts_per_billion
HY,Descripteur - Coordonnees Verticale Hybride GEM,Descriptor - GEM hybrid vertical coordinate,scalar
H_CB,Hauteur de base des nuages (diag),Height of cloud base (diagnostic),meter
H_M2,Hauteur du plus haut point de fusion (diag),Height of highest melting level (diagnostic),meter
H_ML,Hauteur du plus bas point de fusion (diag),Height of lowest melting level (diagnostic),meter
H_SN,Hauteur de la neige au niveau (diag),Height of snow level (diagnostic),meter
I0,Température de la surface et du sol,Surface and soil temperatures,kelvin
I1,Contenu volumétrique du sol en eau,Soil volumetric water contents,cubicMeter_per_cubicMeter
I2,Contenu volumétrique du sol en glace,Soil volumetric ice contents,cubicMeter_per_cubicMeter
I3,Eau retenue par la végétation,Water retained on the vegetation,kilogram_per_squareMeter
I4,Eau dans la neige au sol,Water in the snow pack,kilogram_per_squareMeter
I5,Masse de la neige,Snow mass,kilogram_per_squareMeter
I6,Albédo de la neige,Albedo of snow,scalar
I7,Température de la glace de mer,Sea ice temperature,kelvin
I8,Épaisseur de la glace de mer,Sea ice thickness,meter
I9,Température de la glace de glacier,Glacier temperature,kelvin
IA,Ion ammonium en solution (NH4+),Ammonium ion in solution (NH4+),parts_per_billion
IB,Eau Nuageuse Integree (Phase Surfondue),Integrated Supercooled Liquid water,kilogram_per_squareMeter
IC,Intégrale verticale de l''eau,Vertical Integral of liquid water,kilogram_per_squareMeter
ICR,Trajectoire totale de l''eau liquide pour la radiation,Total liquid water path for radiation,kilogram_per_squareMeter
ID,Température Infrarouge,Infrared temperature,scalar
IE,Eau Nuageuse Integree (Phase Liquide et Solide),Vertical Integrate of total condensate,kilogram_per_squareMeter
IH,Intégrale verticale de la vapeur d''eau,Water vapor vertical integration,kilogram_per_squareMeter
II,Ion ferrique en solution (FE+++),Ferric Ion in Solution (FE+++),parts_per_billion
IIR,Trajectoire totale de la glace pour la radiation,Total ice water path for radiation,kilogram_per_squareMeter
IL,Indice Lifted Index maximum aux bas niveaux,Maximum Lifted Index at low levels,kelvin
IM,Ion manganèse en solution (MN++),Manganese Ion in Solution (MN++),parts_per_billion
IN,Ion nitrate en solution (NO3--),Nitrate Ion in Solution (NO3--),parts_per_billion
IO,Inverse de la longueur de Monin-Obukhov,Inverse Moni-Obukhov Length,inverseMeter
IP,Peroxide d''hydrogène en solution (H2O2),Hydrogen Peroxide in Solution (H2O2),parts_per_billion
IR,Aerosol ferriques (FE+++),Ferric Aerosols (FE+++),parts_per_billion
IS,Ion sulphate en solution (SO4--),Sulphate Ion in Solution (SO4--),parts_per_billion
IV,Radiation entrante au sommet de l''atmosphère,Incoming Solar Radiation at Top of Atmosphere,watt_per_squareMeter
IW,Chemin optique de l''eau (selon sundqvist),Water Optical Path (according to Sundqvist),kilogram_per_squareMeter
IY,Integrale du vapeur d''eau en altitude (700hpa),Integral of Upper troposphere (700hpa) Water Vapour,meter
IZ,Radiance de vapeur d''eau,Water Vapor Radiance,scalar
J1,Pourcentage de sable dans le sol,Percentage of Sand in Soil,scalar
J2,Pourcentage d''argile dans le sol,Percentage of Clay in Soil,scalar
J4,Index de couverture de foliage,Leaf Area Index,squareMeter_per_squareMeter
J5,Contenu en eau selon la capacité du champ,Water Content at Field Capacity,cubicMeter_per_cubicMeter
J6,Contenu en eau à la saturation,Water Content at Saturation,cubicMeter_per_cubicMeter
J7,Contenu en eau au point de flétrissement,Water Content at Wilting Point,cubicMeter_per_cubicMeter
J8,Moyenne aréolaire de la température de surface,Area-averaged Surface Temperature,kelvin
J9,Moyenne aréolaire de l''humidité à la surface,Area-averaged Surface Humidity,kilogram_per_kilogram
K0,Température radiative de surface,Radiative Surface Remperature,kelvin
K1,Fraction de la végétation,vegetation fraction,scalar
K4,Height of convective cloud top,Hauteur des sommets de nuages convectifs,meter
K6,Maximum updraft vertical velocity in convective cloud,Vitesse verticale maximale dans le nuage convectif,meter_per_second
K7,Fraction de glace nuageuse/courants ascendants convectifs,Cloud ice mixing fraction in convective updrafts,kilogram_per_kilogram
K8,Fraction d''eau nuageuse/courants ascendants convectifs,Cloud water mixing fraction in convective updrafts,kilogram_per_kilogram
KC,Indice du 1er niveau de la couche limite,Index of the 1st Level of the Boundary Layer,scalar
KF,Taux de precipitation convective,Convective Precipitation Rate,meter_per_second
KH,Diffusivité (chaleur et humidite),Diffusivity (Heat and Humidity),squareMeter_per_second
KI,GeorgeKIndex indice de temps violent,GeorgeKIndex severe weather index,scalar
KM,Diffusivité (vent),Diffusivity (Wind),squareMeter_per_second
KS,Diffusivité thermique du sol,Soil Thermal Diffusivity,squareMeter_per_second
KT,Coefficient de diffusion verticale pour la chaleur,Vertical Diffusion Coefficient for Heat,squareMeter_per_second
KZW,Coefficient de diffusion vertical pour l''eau,Vertical Diffusion Coefficient for Water,squareMeter_per_second
L0,Niveau de congélation,Freezing Level,foot
L1,Réflectivité composite radar (couche 1),Radar Composite Reflectivity (Layer 1),decibelsOfZ
L2,Réflectivité composite radar (couche 2),Radar Composite Reflectivity (Layer 2),decibelsOfZ
L3,Réflectivité composite radar (couche 3),Radar Composite Reflectivity (Layer 3),decibelsOfZ
L7,Int. vert./frctn liq. nuageuse/courants ascendants cnvctfs,Vertical integral/liquid mixing fraction/cnvctv updrafts,kilogram_per_kilogram
