stationintlid, stationalphaid , canregcode, stationname, latdegmin, latitudecardinaldirection , londegmin, longitudecardinaldirection , stationelevation, terrainelevation, dataavailabilitycode, stationreliabilityflag
'60745','DTTF',NULL,'GAFSA, TN',3425,'N',849,'E',314,313,'2','1'
'60748',NULL,NULL,'SIDI BOUZID, TN',3500,'N',929,'E',355,354,'2','1'
'60750','DTTX',NULL,'SFAX EL-MAOU, TN',3443,'N',1041,'E',23,21,'2','1'
'60760','DTTZ',NULL,'TOZEUR, TN',3355,'N',810,'E',86,86,'2','1'
'60764',NULL,NULL,'KEBILI, TN',3342,'N',858,'E',46,44,'2','1'
'60765','DTTG',NULL,'GABES, TN',3353,'N',1006,'E',5,4,'2','1'
'60769','DTTJ',NULL,'DJERBA MELLITA, TN',3352,'N',1046,'E',4,3,'2','1'
'60770',NULL,NULL,'MEDENINE, TN',3321,'N',1029,'E',117,116,'2','1'
'60772',NULL,NULL,'TATAOUINE, TN',3255,'N',1027,'E',NULL,215,'2','1'
'60775','DTTD',NULL,'REMADA, TN',3219,'N',1024,'E',301,300,'2','1'
'60780','DTTR',NULL,'EL BORMA, TN',3141,'N',918,'E',259,258,'2','1'
'61000','GUFA',NULL,'FRIA, GV',1021,'N',1334,'W',NULL,152,'2','1'
'61000','GAKD',NULL,'DAG DAG, ML',1428,'N',1124,'W',NULL,63,'2','1'
'61000','GASO',NULL,'DIGNANGAN, ML',1136,'N',548,'W',NULL,397,'2','1'
'61000','GQNS',NULL,'SELIBABI, MR',1511,'N',1212,'W',NULL,80,'2','1'
'61000','GOTB',NULL,'BAKEL, SG',1451,'N',1228,'W',NULL,30,'2','1'
'61017','DRRI',NULL,'BILMA, NE',1841,'N',1255,'E',357,355,'2','1'
'61024','DRZA',NULL,'AGADEZ, NE',1658,'N',759,'E',502,501,'2','1'
'61036','DRRL',NULL,'TILLABERY, NE',1412,'N',127,'E',210,209,'2','1'
'61043','DRRT',NULL,'TAHOUA, NE',1454,'N',515,'E',391,386,'2','1'
'61045','DRZG',NULL,'GOURE, NE',1359,'N',1018,'E',460,464,'2','1'
'61049',NULL,NULL,'NORTHnullGUIGMI, NE',1415,'N',1307,'E',286,285,'2','1'
'61052','DRRN',NULL,'NIAMEY-AERO, NE',1329,'N',210,'E',227,223,'2','1'
'61053',NULL,NULL,'DOSSO, NE',1302,'N',318,'E',222,222,'2','1'
'61075','DRRB',NULL,'BIRNI-NnullKONNI, NE',1348,'N',515,'E',273,272,'2','1'
'61080','DRRM',NULL,'MARADI, NE',1328,'N',705,'E',373,372,'2','1'
'61085','DRZF',NULL,'DIFFA, NE',1325,'N',1247,'E',305,303,'2','1'
'61090','DRZR',NULL,'ZINDER, NE',1347,'N',859,'E',453,452,'2','1'
'61091',NULL,NULL,'MAGARIA, NE',1259,'N',856,'E',403,403,'2','1'
'61096','DRZM',NULL,'MAINE-SOROA, NE',1314,'N',1159,'E',337,338,'2','1'
'61099','DRRG',NULL,'GAYA, NE',1153,'N',327,'E',203,202,'2','1'
'61202','GATS',NULL,'TESSALIT, MI',2012,'N',59,'E',491,494,'2','1'
'61214','GAKL',NULL,'KIDAL, MI',1826,'N',121,'E',459,458,'2','1'
'61223','GATB',NULL,'TOMBOUCTOU, MI',1643,'N',300,'W',264,263,'2','1'
'61226','GAGO',NULL,'GAO, MI',1616,'N',3,'W',260,265,'2','1'
'61230','GANR',NULL,'NIORO DU SAHEL, MI',1514,'N',921,'W',237,235,'2','1'
'61233','GANK',NULL,'NARA, MI',1510,'N',717,'W',265,271,'2','1'
'61235','GAYE',NULL,'YELIMANE, MI',1507,'N',1034,'W',100,NULL,'2','1'
'61240','GAHB',NULL,'HOMBORI, MI',1520,'N',141,'W',288,287,'2','1'
'61250','GAMK',NULL,'MENAKA, MI',1552,'N',213,'E',278,278,'2','1'
'61257','GAKY',NULL,'KAYES, MI',1426,'N',1126,'W',47,47,'2','1'
'61265','GAMB',NULL,'MOPTI, MI',1431,'N',406,'W',272,276,'2','1'
'61270','GAKT',NULL,'KITA, MI',1304,'N',928,'W',334,333,'2','1'
'61272','GASG',NULL,'SEGOU, MI',1324,'N',609,'W',289,288,'2','1'
'61277','GASN',NULL,'SAN, MI',1320,'N',450,'W',284,283,'2','1'
'61285','GAKA',NULL,'KENIEBA, MI',1251,'N',1114,'W',132,132,'2','1'
'61288',NULL,NULL,'DIOILA, MI (AUT)',1229,'N',648,'W',331,NULL,'2','1'
'61291','GABS',NULL,'BAMAKO/SENOU, MI',1232,'N',757,'W',381,380,'2','1'
'61293','GAKO',NULL,'KOUTIALA, MI',1223,'N',528,'W',367,365,'2','1'
'61296','GABG',NULL,'BOUGOUNI, MI',1125,'N',730,'W',351,350,'2','1'
'61297','GASK',NULL,'SIKASSO, MI',1121,'N',541,'W',375,374,'2','1'
'61401','GQPT',NULL,'BIR MOGHREIN, MT',2514,'N',1137,'W',360,364,'2','1'
'61404',NULL,NULL,'ZOUERATE, MT',2245,'N',1229,'W',343,NULL,'2','1'
'61415','GQPP',NULL,'NOUADHIBOU, MT',2056,'N',1702,'W',3,5,'2','1'
'61421','GQPA',NULL,'ATAR, MT',2031,'N',1304,'W',224,226,'2','1'
'61437','GQNJ',NULL,'AKJOUJT, MT',1945,'N',1422,'W',120,123,'2','1'
'61442','GQNN',NULL,'NOUAKCHOTT, MT',1806,'N',1557,'W',3,2,'2','1'
'61450','GQND',NULL,'TIDJIKJA, MT',1834,'N',1126,'W',402,396,'2','1'
'61461','GQNB',NULL,'BOUTILIMIT, MT',1732,'N',1441,'W',75,77,'2','1'
'61470',NULL,NULL,'ALEG, MT',1703,'N',1255,'W',NULL,45,'2','1'
'61489','GQNR',NULL,'ROSSO, MT',1630,'N',1549,'W',6,5,'2','1'
'61492','GQNK',NULL,'KAEDI, MT',1609,'N',1331,'W',18,NULL,'2','1'
'61497','GQNI',NULL,'NEMA, MT',1636,'N',716,'W',269,NULL,'2','1'
'61498','GQNF',NULL,'KIFFA, MT',1638,'N',1124,'W',115,NULL,'2','1'
'61499','GQNA',NULL,'AIOUN EL ATROUSS, MT',1642,'N',936,'W',223,NULL,'2','1'
'61510',NULL,NULL,'SELIBABY, MT',1514,'N',1210,'W',NULL,60,'2','1'
'61520',NULL,NULL,'BASSIKOUNOU, MT',1552,'N',556,'W',NULL,261,'2','1'
'61600','GOSS',NULL,'SAINT-LOUIS, SG',1603,'N',1629,'W',4,4,'2','1'
'61612','GOSP',NULL,'PODOR, SG',1638,'N',1455,'W',7,6,'2','1'
'61627','GOOG',NULL,'LINGUERE, SG',1522,'N',1507,'W',21,20,'2','1'
'61630','GOSM',NULL,'MATAM, SG',1537,'N',1315,'W',17,15,'2','1'
'61641','GOOY',NULL,'DAKAR/YOFF',1444,'N',1730,'W',24,27,'2','1'
'61666','GOOD',NULL,'DIOURBEL, SG',1439,'N',1614,'W',9,7,'2','1'
'61669',NULL,NULL,'PEKISKO, CN',5022,'N',11425,'W',1341,1341,'1','1'
'61679','GOOK',NULL,'KAOLACK, SG',1408,'N',1604,'W',7,6,'2','1'
'61687','GOTT',NULL,'TAMBACOUNDA, SG',1346,'N',1341,'W',50,49,'2','1'
'61689',NULL,NULL,'SIMENTI, SG',1303,'N',1318,'W',52,52,'2','1'
'61695','GOGG',NULL,'ZIGUINCHOR, SG',1233,'N',1616,'W',23,26,'2','1'
'61697','GOGS',NULL,'CAP-SKIRRING, SG',1224,'N',1645,'W',13,16,'2','1'
'61698','GOGK',NULL,'KOLDA, SG',1253,'N',1458,'W',10,10,'2','1'
'61699','GOTK',NULL,'KEDOUGOU, SG',1234,'N',1213,'W',167,178,'2','1'
'61701','GBYD',NULL,'BANJUL/YUNDUM, GM',1312,'N',1638,'W',33,36,'2','1'
'61702',NULL,NULL,'KUNTAUR, GM',1340,'N',1453,'E',3,3,'2','1'
'61705',NULL,NULL,'SIBANOR, GM',1313,'N',1612,'W',NULL,NULL,'1','1'
